point,outcome,probability,dominant_hypothesis,start_belief,posterior_belief,start_xy,posterior_xy,displacement_xy,branch_length,argmax_gap,projection_metric,projection_index,projection_distance,projection_belief,projection_xy,S_posterior
A,1,0.32916666666666666,1,"[0.325000, 0.337500, 0.337500]","[0.658228, 0.170886, 0.170886]","[0.506250, 0.292284]","[0.256329, 0.147992]","[-0.249921, -0.144292]",0.2885837817041184,1.2692311942896772e-05,linf,2900,0.008227848101265867,"[0.650000, 0.175000, 0.175000]","[0.262500, 0.151554]",0.6582278481012659
A,2,0.3354166666666667,2,"[0.325000, 0.337500, 0.337500]","[0.161491, 0.670807, 0.167702]","[0.506250, 0.292284]","[0.754658, 0.145234]","[0.248408, -0.147049]",0.28866984808068574,1.2692311942896772e-05,linf,1029,0.005201863354037328,"[0.162500, 0.675000, 0.162500]","[0.756250, 0.140729]",0.670807453416149
A,3,0.33541666666666664,3,"[0.325000, 0.337500, 0.337500]","[0.161491, 0.167702, 0.670807]","[0.506250, 0.292284]","[0.503106, 0.580936]","[-0.003144, 0.288653]",0.2886698480806859,1.2692311942896772e-05,linf,988,0.005201863354037356,"[0.162500, 0.162500, 0.675000]","[0.500000, 0.584567]",0.6708074534161491
B,1,0.46385032715974167,2,"[0.475000, 0.487500, 0.037500]","[0.344325, 0.652182, 0.003494]","[0.506250, 0.032476]","[0.653929, 0.003026]","[0.147679, -0.029450]",0.1505865307446147,7.600612634495185e-06,linf,1942,0.005675493935267617,"[0.350000, 0.650000, 0.000000]","[0.650000, 0.000000]",0.6521817941233601
B,2,0.2077154413335207,2,"[0.475000, 0.487500, 0.037500]","[0.098823, 0.789147, 0.112030]","[0.506250, 0.032476]","[0.845162, 0.097021]","[0.338912, 0.064545]",0.3450036781219587,7.600612634495185e-06,linf,683,0.0016472148923626362,"[0.100000, 0.787500, 0.112500]","[0.843750, 0.097428]",0.7891472148923626
B,3,0.32843423150673734,1,"[0.475000, 0.487500, 0.037500]","[0.897464, 0.064144, 0.038391]","[0.506250, 0.032476]","[0.083340, 0.033248]","[-0.422910, 0.000772]",0.42291060911567907,7.600612634495185e-06,linf,3281,0.0025358439313750702,"[0.900000, 0.062500, 0.037500]","[0.081250, 0.032476]",0.897464156068625
C,1,0.46416210708325956,1,"[0.900000, 0.050000, 0.050000]","[0.944766, 0.055200, 0.000034]","[0.075000, 0.043301]","[0.055217, 0.000030]","[-0.019783, -0.043272]",0.04757950027248701,2.220446049250313e-16,linf,3310,0.005233985544086273,"[0.950000, 0.050000, 0.000000]","[0.050000, 0.000000]",0.9447660144559137
C,2,0.050269670551806964,3,"[0.900000, 0.050000, 0.050000]","[0.005680, 0.484636, 0.509684]","[0.075000, 0.043301]","[0.739478, 0.441400]","[0.664478, 0.398098]",0.7746050648821151,2.220446049250313e-16,linf,39,0.005680035741399878,"[0.000000, 0.487500, 0.512500]","[0.743750, 0.443838]",0.5096842660368849
C,3,0.48556822236493347,1,"[0.900000, 0.050000, 0.050000]","[0.949794, 0.000033, 0.050173]","[0.075000, 0.043301]","[0.025119, 0.043451]","[-0.049881, 0.000150]",0.049880992127668944,2.220446049250313e-16,linf,3306,0.00020579753376959165,"[0.950000, 0.000000, 0.050000]","[0.025000, 0.043301]",0.9497942024662304
D,1,0.44446899141139656,1,"[0.550000, 0.300000, 0.150000]","[0.730755, 0.262121, 0.007124]","[0.375000, 0.129904]","[0.265683, 0.006170]","[-0.109317, -0.123734]",0.16510700649758084,4.268244997107651e-06,linf,3066,0.005754780567174933,"[0.725000, 0.262500, 0.012500]","[0.268750, 0.010825]",0.7307547805671749
D,2,0.24702493726959962,2,"[0.550000, 0.300000, 0.150000]","[0.047000, 0.717185, 0.235816]","[0.375000, 0.129904]","[0.835092, 0.204222]","[0.460092, 0.074319]",0.4660560926580717,4.268244997107651e-06,linf,375,0.004684508968903378,"[0.050000, 0.712500, 0.237500]","[0.831250, 0.205681]",0.7171845089689034
D,3,0.30850607131900365,1,"[0.550000, 0.300000, 0.150000]","[0.692343, 0.020527, 0.287130]","[0.375000, 0.129904]","[0.164092, 0.248662]","[-0.210908, 0.118758]",0.24204453916556345,4.268244997107651e-06,linf,2972,0.0048431365912973146,"[0.687500, 0.025000, 0.287500]","[0.168750, 0.248982]",0.6923431365912973
E,1,0.3791666666666666,1,"[0.425000, 0.287500, 0.287500]","[0.747253, 0.126374, 0.126374]","[0.431250, 0.248982]","[0.189560, 0.109443]","[-0.241690, -0.139540]",0.27907906556020506,1.2692311942896772e-05,linf,3100,0.0027472527472526265,"[0.750000, 0.125000, 0.125000]","[0.187500, 0.108253]",0.7472527472527474
E,2,0.3104166666666667,2,"[0.425000, 0.287500, 0.287500]","[0.228188, 0.617450, 0.154362]","[0.431250, 0.248982]","[0.694631, 0.133682]","[0.263381, -0.115301]",0.2875129495754857,1.2692311942896772e-05,linf,1355,0.007550335570469913,"[0.225000, 0.625000, 0.150000]","[0.700000, 0.129904]",0.6174496644295301
E,3,0.31041666666666656,3,"[0.425000, 0.287500, 0.287500]","[0.228188, 0.154362, 0.617450]","[0.431250, 0.248982]","[0.463087, 0.534727]","[0.031837, 0.285745]",0.28751294957548573,1.2692311942896772e-05,linf,1317,0.007550335570469691,"[0.225000, 0.150000, 0.625000]","[0.462500, 0.541266]",0.6174496644295303
